Country Name,Country Code,ISO3166-1-numeric,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,4,,,,,,36.28907741,37.06956358,54.50542721,50.73187703,
Albania,ALB,8,44.2101252,45.34465728,45.785586,44.58006483,44.44600645,36.97994088,44.45734783,47.50096803,43.93367211,43.16976754
Algeria,DZA,12,32.67648091,31.27424482,29.48713665,29.01306194,26.09890066,24.85455545,23.39269197,20.39853319,19.94973798,20.28219405
American Samoa,ASM,16,98.81129272,95.23099851,102.2875817,103.599374,94.89953632,95.14563107,92.53333333,77.72675086,,
Andorra,AND,20,,,,,,,,,,
Angola,AGO,24,28.83044917,22.35640088,20.20710717,22.67058495,23.55449321,22.76840068,22.0767296,20.05872025,20.7071812,19.35870709
Antigua and Barbuda,ATG,28,59.36705306,62.00182499,63.24832111,68.18460455,68.37308883,52.40356612,54.11374701,62.9797628,,
Argentina,ARG,32,11.78057404,13.56679268,13.96931778,16.32585021,14.70573667,13.59828437,15.0119804,15.29851154,13.85463915,12.68001226
Armenia,ARM,51,41.95668313,42.3336876,48.98633088,53.08021299,55.58439752,40.04470889,43.58001337,52.30770885,62.4104206,76.43937258
Aruba,ABW,533,70.17127833,67.92060326,69.07968388,70.41610828,71.24014177,69.1467944,72.39789288,79.8276654,76.61852202,76.37279182
Australia,AUS,36,21.51010524,21.61025834,20.8635723,21.76065171,21.93920268,20.56152671,18.20042152,20.23311204,22.34327107,22.52385705
Austria,AUT,40,49.72156947,48.91009251,51.23003708,52.6757305,52.31147751,48.28512414,55.07898706,62.15226653,56.66615525,53.14749275
Azerbaijan,AZE,31,34.80673042,43.64966934,41.85445095,37.58028267,36.76751791,36.39431178,29.79811852,26.99542519,34.53947262,36.7873228
"Bahamas, The",BHS,44,33.84638778,34.36103326,36.60831211,36.90245881,33.80582963,30.14705882,37.96128603,38.82404582,38.73802492,41.45887019
Bahrain,BHR,48,68.5719566,62.2347072,64.17537767,68.35999989,62.32311941,65.00654919,67.52509781,71.17987575,70.09671073,70.14349662
Bangladesh,BGD,50,24.74932252,17.41294565,17.17998378,19.83984378,18.48329716,15.82865931,17.0612258,20.89774084,17.82580758,16.31688797
Barbados,BRB,52,,,,,,,,,,
Belarus,BLR,112,57.90405963,62.69997578,66.57815452,68.93869099,65.75582211,57.92207896,65.18241284,56.97302068,65.55794631,66.85398407
Belgium,BEL,56,77.19094283,79.4395649,83.45967319,84.79463616,82.49805139,77.75325072,87.75653733,96.75768663,83.10375093,79.65873993
