Country Name,Country Code,ISO3166-1-numeric,2020,2021,2022,2023,2024
Afghanistan,AFG,4,36.29,37.07,54.51,50.73,
Albania,ALB,8,36.98,44.46,47.50,43.93,43.17
Algeria,DZA,12,24.85,23.39,20.40,19.95,20.28
American Samoa,ASM,16,95.15,92.53,77.73,,
Andorra,AND,20,,,,,
Angola,AGO,24,22.77,22.08,20.06,20.71,19.36
Antigua and Barbuda,ATG,28,52.40,54.11,62.98,,
Argentina,ARG,32,13.60,15.01,15.30,13.85,12.68
Armenia,ARM,51,40.04,43.58,52.31,62.41,76.44
Aruba,ABW,533,69.15,72.40,79.83,76.62,76.37
Australia,AUS,36,20.56,18.20,20.23,22.34,22.52
Austria,AUT,40,48.29,55.08,62.15,56.67,53.15
Azerbaijan,AZE,31,36.39,29.80,27.00,34.54,36.79
"Bahamas, The",BHS,44,30.15,37.96,38.82,38.74,41.46
Bahrain,BHR,48,65.01,67.53,71.18,70.10,70.14
Bangladesh,BGD,50,15.83,17.06,20.90,17.83,16.32
Barbados,BRB,52,,,,,
Belarus,BLR,112,57.92,65.18,56.97,65.56,66.85
Belgium,BEL,56,77.75,87.76,96.76,83.10,79.66
Belize,BLZ,84,44.01,51.40,55.26,51.47,53.75
Benin,BEN,204,24.96,27.14,23.57,24.66,21.80
Bermuda,BMU,60,22.06,23.51,24.90,23.36,23.15
Bhutan,BTN,64,43.76,48.38,60.07,53.35,
Bolivia,BOL,68,20.64,24.11,29.73,27.21,25.54
Bosnia and Herzegovina,BIH,70,47.93,53.92,61.90,55.70,54.28
Botswana,BWA,72,46.37,46.85,42.07,36.55,43.71
Brazil,BRA,76,15.85,18.55,19.19,15.70,17.65
British Virgin Islands,VGB,92,,,,,
Brunei Darussalam,BRN,96,52.93,66.95,60.58,60.16,58.32
Bulgaria,BGR,100,53.95,59.36,68.87,57.89,53.86
Burkina Faso,BFA,854,28.96,29.62,36.30,34.19,31.94
Burundi,BDI,108,,,,,
Cabo Verde,CPV,132,53.10,53.61,58.31,55.75,54.01
Cambodia,KHM,116,62.18,73.82,73.67,67.31,72.08
Cameroon,CMR,120,18.50,20.22,21.96,21.04,18.73
Canada,CAN,124,31.68,31.07,33.37,33.28,32.71
Cayman Islands,CYM,136,45.84,,,,
Central African Republic,CAF,140,34.35,30.93,32.93,29.04,31.42
Chad,TCD,148,19.36,17.66,16.25,17.77,18.09
Chile,CHL,152,26.85,32.88,39.59,29.91,30.14
China,CHN,156,15.84,16.99,17.14,17.00,17.18
Colombia,COL,170,20.53,23.86,27.89,22.56,20.93
Comoros,COM,174,28.06,32.15,37.44,35.33,34.46
"Congo, Dem. Rep.",COD,180,31.18,37.56,45.00,44.69,51.80
