Country Name,Country Code,2020,2021,2022,2023,2024
Aruba,ABW,69.1467944,72.39789288,79.8276654,76.61852202,76.37279182
Africa Eastern and Southern,AFE,24.49609527,26.34059505,29.59871236,29.38812596,28.47937032
Afghanistan,AFG,36.28907741,37.06956358,54.50542721,50.73187703,
Africa Western and Central,AFW,,,,,
Angola,AGO,22.76840068,22.0767296,20.05872025,20.7071812,19.35870709
Albania,ALB,36.97994088,44.45734783,47.50096803,43.93367211,43.16976754
Andorra,AND,,,,,
Arab World,ARB,36.74134159,35.65720489,35.95928289,39.81809143,
United Arab Emirates,ARE,83.21942063,82.2667808,83.68967201,92.19884022,
Argentina,ARG,13.59828437,15.0119804,15.29851154,13.85463915,12.68001226
Armenia,ARM,40.04470889,43.58001337,52.30770885,62.4104206,76.43937258
American Samoa,ASM,95.14563107,92.53333333,77.72675086,,
Antigua and Barbuda,ATG,52.40356612,54.11374701,62.9797628,,
Australia,AUS,20.56152671,18.20042152,20.23311204,22.34327107,22.52385705
Austria,AUT,48.28512414,55.07898706,62.15226653,56.66615525,53.14749275
Azerbaijan,AZE,36.39431178,29.79811852,26.99542519,34.53947262,36.7873228
Burundi,BDI,,,,,
Belgium,BEL,77.75325072,87.75653733,96.75768663,83.10375093,79.65873993
Benin,BEN,24.96076295,27.13605466,23.56626284,24.65961173,21.79964532
Burkina Faso,BFA,28.96291295,29.62328514,36.30221671,34.19247663,31.94470367
Bangladesh,BGD,15.82865931,17.0612258,20.89774084,17.82580758,16.31688797
Bulgaria,BGR,53.94877691,59.36448256,68.86540235,57.89453121,53.85635248
Bahrain,BHR,65.00654919,67.52509781,71.17987575,70.09671073,70.14349662
"Bahamas, The",BHS,30.14705882,37.96128603,38.82404582,38.73802492,41.45887019
Bosnia and Herzegovina,BIH,47.9297913,53.91652147,61.89815704,55.70129238,54.28345459
Belarus,BLR,57.92207896,65.18241284,56.97302068,65.55794631,66.85398407
Belize,BLZ,44.00582117,51.40095477,55.26146266,51.469664,53.74905287
Bermuda,BMU,22.05904901,23.50804255,24.89837614,23.35962781,23.14590192
Bolivia,BOL,20.64468107,24.11456869,29.73094207,27.20551602,25.54280919
Brazil,BRA,15.84852653,18.54690039,19.18530097,15.69690553,17.6459445
Barbados,BRB,,,,,
Brunei Darussalam,BRN,52.93489224,66.95420157,60.584609,60.16023217,58.31669793
Bhutan,BTN,43.76471553,48.38370758,60.07237656,53.34851997,
