YEAR,SECTOR,EXPORT (RM Billion)
2015,Agriculture & Food,60.790
2015,Energy & Resources,138.171
2015,Chemical ,32.560
2015,Metals,42.576
2015,Machinery & Technology,349.542
2016,Agriculture & Food,65.112
2016,Energy & Resources,123.623
2016,Chemical ,35.470
2016,Metals,43.837
2016,Machinery & Technology,364.927
2017,Agriculture & Food,71.513
2017,Energy & Resources,157.796
2017,Chemical ,41.009
2017,Metals,55.029
2017,Machinery & Technology,434.409
2018,Agriculture & Food,62.189
2018,Energy & Resources,171.106
2018,Chemical ,43.867
2018,Metals,63.089
2018,Machinery & Technology,479.359
2019,Agriculture & Food,62.186
2019,Energy & Resources,159.076
2019,Chemical ,40.704
2019,Metals,66.102
2019,Machinery & Technology,474.442
