YEAR,HS,SECTOR,PRODUCT DESCRIPTION,IMPORT (RM Million)
2015,10,AGRICULTURE & FOOD,CEREALS,6592.22
2015,15,AGRICULTURE & FOOD,FATS AND OILS,7088.38
2015,18,AGRICULTURE & FOOD,COCOA,4233.64
2015,21,AGRICULTURE & FOOD,FOOD PREPARATIONS,3573.13
2015,23,AGRICULTURE & FOOD,ANIMAL FODDER,3983.40
2015,25,ENERGY & RESOURCES,SALT AND CEMENT,2325.53
2015,26,ENERGY & RESOURCES,ORES AND SLAG,4975.05
2015,27,ENERGY & RESOURCES,MINERAL FUELS,85154.38
2015,29,CHEMICAL ,ORGANIC CHEMICALS,11788.40
2015,30,CHEMICAL ,PHARMACEUTICAL PRODUCTS,5281.11
2015,31,CHEMICAL ,FERTILISERS,4491.17
2015,32,CHEMICAL ,DYES AND PIGMENTS,2891.14
2015,38,CHEMICAL ,CHEMICAL PRODUCTS,9723.72
2015,39,POLYMERS & MATERIALS,PLASTICS,26350.51
2015,40,POLYMERS & MATERIALS,RUBBER,12048.61
2015,44,POLYMERS & MATERIALS,WOOD PRODUCT,2243.78
2015,47,POLYMERS & MATERIALS,PULP AND WASTE PAPER,601.29
2015,48,POLYMERS & MATERIALS,PAPER AND PAPERBOARD,6250.65
2015,52,CONSUMER GOODS,COTTON,1638.32
2015,61,CONSUMER GOODS,KNITTED APPAREL,4306.84
2015,62,CONSUMER GOODS,NON-KNITTED APPAREL,2824.09
2015,63,CONSUMER GOODS,TEXTILE ARTICLES,1500.65
2015,64,CONSUMER GOODS,FOOTWEAR,1953.35
2015,68,ENERGY & RESOURCES,ARTICLES OF STONE AND CEMENT,1054.76
2015,70,ENERGY & RESOURCES,GLASS AND GLASSWARE,3370.32
2015,71,METALS,PRECIOUS METALS,16237.02
2015,72,METALS,IRON AND STEEL,18499.47
2015,73,METALS,ARTICLES OF IRON OR STEEL,9802.39
2015,74,METALS,COPPER,12134.94
2015,76,METALS,ALUMINIUM,10635.64
2015,83,MACHINERY & TECHNOLOGY,MISCELLANEOUS METAL ARTICLES,1622.72
2015,84,MACHINERY & TECHNOLOGY,MACHINERY,77345.99
2015,85,MACHINERY & TECHNOLOGY,ELECTRICAL MACHINERY,184000.00
2015,86,TRANSPORT & HOUSEHOLD,RAILWAY EQUIPMENT,1560.91
2015,87,TRANSPORT & HOUSEHOLD,VEHICLES,23708.22
2015,88,TRANSPORT & HOUSEHOLD,AIRCRAFT,10023.32
2015,89,TRANSPORT & HOUSEHOLD,SHIPS AND BOATS,1597.30
2015,90,MACHINERY & TECHNOLOGY,PRECISION INSTRUMENTS,20710.01
2015,94,TRANSPORT & HOUSEHOLD,FURNITURE,3445.58
2015,95,MACHINERY & TECHNOLOGY,TOYS AND SPORTS GOODS,1516.28
2016,10,AGRICULTURE & FOOD,CEREALS,5986.17
2016,15,AGRICULTURE & FOOD,FATS AND OILS,5601.34
2016,18,AGRICULTURE & FOOD,COCOA,4250.29
2016,21,AGRICULTURE & FOOD,FOOD PREPARATIONS,3924.30
2016,23,AGRICULTURE & FOOD,ANIMAL FODDER,3665.57
2016,25,ENERGY & RESOURCES,SALT AND CEMENT,1925.27
2016,26,ENERGY & RESOURCES,ORES AND SLAG,6121.61
2016,27,ENERGY & RESOURCES,MINERAL FUELS,72186.83
2016,29,CHEMICAL ,ORGANIC CHEMICALS,12397.83
2016,30,CHEMICAL ,PHARMACEUTICAL PRODUCTS,5397.65
2016,31,CHEMICAL ,FERTILISERS,3985.48
2016,32,CHEMICAL ,DYES AND PIGMENTS,3176.85
2016,38,CHEMICAL ,CHEMICAL PRODUCTS,10504.12
2016,39,POLYMERS & MATERIALS,PLASTICS,28319.29
2016,40,POLYMERS & MATERIALS,RUBBER,11953.69
2016,44,POLYMERS & MATERIALS,WOOD PRODUCT,2385.31
2016,47,POLYMERS & MATERIALS,PULP AND WASTE PAPER,679.51
2016,48,POLYMERS & MATERIALS,PAPER AND PAPERBOARD,7178.34
2016,52,CONSUMER GOODS,COTTON,1617.40
2016,61,CONSUMER GOODS,KNITTED APPAREL,4555.48
2016,62,CONSUMER GOODS,NON-KNITTED APPAREL,3306.62
2016,63,CONSUMER GOODS,TEXTILE ARTICLES,1807.22
2016,64,CONSUMER GOODS,FOOTWEAR,2655.85
2016,68,ENERGY & RESOURCES,ARTICLES OF STONE AND CEMENT,1216.20
2016,70,ENERGY & RESOURCES,GLASS AND GLASSWARE,3802.98
2016,71,METALS,PRECIOUS METALS,14482.00
2016,72,METALS,IRON AND STEEL,19047.72
2016,73,METALS,ARTICLES OF IRON OR STEEL,11490.81
2016,74,METALS,COPPER,11420.23
2016,76,METALS,ALUMINIUM,9904.71
2016,83,MACHINERY & TECHNOLOGY,MISCELLANEOUS METAL ARTICLES,1941.53
2016,84,MACHINERY & TECHNOLOGY,MACHINERY,83372.82
2016,85,MACHINERY & TECHNOLOGY,ELECTRICAL MACHINERY,193000.00
2016,86,TRANSPORT & HOUSEHOLD,RAILWAY EQUIPMENT,1227.84
2016,87,TRANSPORT & HOUSEHOLD,VEHICLES,23983.85
2016,88,TRANSPORT & HOUSEHOLD,AIRCRAFT,11946.62
2016,89,TRANSPORT & HOUSEHOLD,SHIPS AND BOATS,4436.75
2016,90,MACHINERY & TECHNOLOGY,PRECISION INSTRUMENTS,21511.24
2016,94,TRANSPORT & HOUSEHOLD,FURNITURE,4047.83
2016,95,MACHINERY & TECHNOLOGY,TOYS AND SPORTS GOODS,1809.33
2017,10,AGRICULTURE & FOOD,CEREALS,6184.55
2017,15,AGRICULTURE & FOOD,FATS AND OILS,6963.60
2017,18,AGRICULTURE & FOOD,COCOA,4350.71
2017,21,AGRICULTURE & FOOD,FOOD PREPARATIONS,4042.67
2017,23,AGRICULTURE & FOOD,ANIMAL FODDER,4687.37
2017,25,ENERGY & RESOURCES,SALT AND CEMENT,1916.86
2017,26,ENERGY & RESOURCES,ORES AND SLAG,8040.33
2017,27,ENERGY & RESOURCES,MINERAL FUELS,107000.00
2017,29,CHEMICAL ,ORGANIC CHEMICALS,15690.26
2017,30,CHEMICAL ,PHARMACEUTICAL PRODUCTS,5497.86
2017,31,CHEMICAL ,FERTILISERS,4342.09
2017,32,CHEMICAL ,DYES AND PIGMENTS,3621.57
2017,38,CHEMICAL ,CHEMICAL PRODUCTS,12939.71
2017,39,POLYMERS & MATERIALS,PLASTICS,33111.38
2017,40,POLYMERS & MATERIALS,RUBBER,16673.72
2017,44,POLYMERS & MATERIALS,WOOD PRODUCT,2934.59
2017,47,POLYMERS & MATERIALS,PULP AND WASTE PAPER,805.95
2017,48,POLYMERS & MATERIALS,PAPER AND PAPERBOARD,8069.65
2017,52,CONSUMER GOODS,COTTON,1898.57
2017,61,CONSUMER GOODS,KNITTED APPAREL,3865.10
2017,62,CONSUMER GOODS,NON-KNITTED APPAREL,2935.48
2017,63,CONSUMER GOODS,TEXTILE ARTICLES,2074.54
2017,64,CONSUMER GOODS,FOOTWEAR,2713.64
2017,68,ENERGY & RESOURCES,ARTICLES OF STONE AND CEMENT,1255.02
2017,70,ENERGY & RESOURCES,GLASS AND GLASSWARE,3853.76
2017,71,METALS,PRECIOUS METALS,19098.04
2017,72,METALS,IRON AND STEEL,22515.50
2017,73,METALS,ARTICLES OF IRON OR STEEL,12766.57
2017,74,METALS,COPPER,14987.13
2017,76,METALS,ALUMINIUM,11093.20
2017,83,MACHINERY & TECHNOLOGY,MISCELLANEOUS METAL ARTICLES,1939.08
