Year,GDP,ExchangeRate,TradeToGDP
1990,44.02,2.705,146.8882525
1991,49.14,2.750,159.3114473
1992,59.17,2.547,150.611221
1993,66.89,2.574,157.9404625
1994,74.48,2.624,179.9049427
1995,88.71,2.504,192.1132003
1996,100.86,2.516,181.7669825
1997,100.01,2.813,185.6651112
1998,72.17,3.924,209.4922028
1999,79.15,3.800,217.5709194
2000,93.79,3.800,220.406789
2001,92.78,3.800,203.364636
2002,100.85,3.800,199.3562327
2003,110.20,3.800,194.1951291
2004,124.75,3.800,210.3742659
2005,143.53,3.787,203.8546446
2006,162.69,3.668,202.5771468
2007,193.55,3.438,192.4655064
2008,230.81,3.336,176.6683248
2009,202.26,3.525,162.5589705
2010,255.02,3.221,157.9447649
2011,297.95,3.060,154.9376846
2012,314.44,3.089,147.8417548
2013,323.28,3.151,142.7209915
2014,338.07,3.273,138.3122312
2015,301.36,3.906,131.3700724
2016,301.26,4.148,126.89901
2017,319.11,4.300,133.1551734
2018,358.79,4.035,130.4026255
2019,365.18,4.142,123.028562
2020,337.46,4.203,116.7881824
2021,373.78,4.143,134.0359947
2022,407.83,4.401,146.4246048
2023,399.95,4.561,132.5934616
